
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, Kit (NDC 61314-517-36)","New","01/13/2026","","Equivalent Sandoz format is available.","","","Rheumatology","To Be Discontinued","","01/13/2026","01/13/2026","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, 40 mg/.4 mL (NDC 61314-473-64)","New","01/13/2026","","Equivalent Sandoz format is available.","","","Rheumatology","To Be Discontinued","","01/13/2026","01/13/2026","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, 80 mg/.8 mL (NDC 61314-454-68)","New","01/13/2026","","Equivalent Sandoz format is available.","","","Rheumatology","To Be Discontinued","","01/13/2026","01/13/2026","","","","","","",""
"Adalimumab-adaz Injection","Sandoz Inc.","800-525-8747","Hyrimoz, Injection, 80 mg/.8 mL (NDC 61314-454-36)","New","01/13/2026","","Equivalent Sandoz format is available.","","","Rheumatology","To Be Discontinued","","01/13/2026","01/13/2026","","","","","","",""
"Adalimumab-afzb Injection","Pfizer Inc.","800-646-4398","Abrilada, Injection, Kit (NDC 0025-0325-01)","New","10/09/2025","","Discontinuation of the manufacture of the drug","","","Rheumatology","To Be Discontinued","","10/09/2025","10/09/2025","","","","","","",""
"Adalimumab-ryvk Kit","Teva Pharmaceuticals USA, Inc.","800-545-8800","Simlandi, Kit, Kit (NDC 51759-523-21)","New","11/13/2025","","Discontinuation of the manufacture of the drug","","","Rheumatology","To Be Discontinued","","11/13/2025","11/13/2025","","","","","","",""
"Albuterol Sulfate Solution","Ritedose Pharmaceuticals, LLC","803-806-3300","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 76204-027-01)","Revised","08/27/2026","","","Available","","Pediatric; Pulmonary/Allergy","Resolved","08/27/2026","","10/25/2022","","","","","","",""
"Albuterol Sulfate Solution","Rising Pharma Holdings, Inc.","201-961-9000","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 64980-642-03)","Revised","08/27/2026","","","Available","","Pediatric; Pulmonary/Allergy","Resolved","08/27/2026","","10/25/2022","","","","","","",""
"Albuterol Sulfate Solution","Nephron Pharmaceuticals Corporation","800-443-4313","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)","Revised","08/27/2026","","","Available","","Pulmonary/Allergy; Pediatric","Resolved","08/27/2026","","10/25/2022","","","","","","",""
"Allopurinol Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Allopurinol, Tablet, 100 mg (NDC 0591-5543-01)","New","02/19/2026","","Discontinuation of the manufacture of the drug","","","Oncology; Renal; Rheumatology","To Be Discontinued","","02/19/2026","02/19/2026","","","","","","",""
"Allopurinol Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Allopurinol, Tablet, 100 mg (NDC 0591-5543-10)","New","02/19/2026","","Discontinuation of the manufacture of the drug","","","Oncology; Renal; Rheumatology","To Be Discontinued","","02/19/2026","02/19/2026","","","","","","",""
"Allopurinol Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Allopurinol, Tablet, 300 mg (NDC 0591-5544-01)","New","02/19/2026","","Discontinuation of the manufacture of the drug","","","Oncology; Renal; Rheumatology","To Be Discontinued","","02/19/2026","02/19/2026","","","","","","",""
"Allopurinol Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Allopurinol, Tablet, 300 mg (NDC 0591-5544-05)","New","02/19/2026","","Discontinuation of the manufacture of the drug","","","Oncology; Renal; Rheumatology","To Be Discontinued","","02/19/2026","02/19/2026","","","","","","",""
"Alteplase Injection","Genentech, Inc","800-551-2231","Activase, Injection, 1 KIT in 1 CARTON (50242-085-27) * 100 mL in 1 VIAL, SINGLE-USE * 100 mL in 1 VIAL, SINGLE USE (NDC 50242-085-27)","New","05/21/2026","","Discontinuation of the 100mg vial configuration","","","Cardiovascular; Hematology; Neurology","To Be Discontinued","","05/21/2026","05/21/2026","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-03)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-04)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-06)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","TrophAmine 10%, Injection, 0.1 (NDC 0264-1933-10)","Reverified","08/21/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER, Injection, 2.76 g/100 mL; 1.96 g/100 mL; 600 mg/100 mL; 1.02 g/100 mL; 2.06 g/100 mL; 1.18 g/100 mL; 1.08 g/100 mL; 1.08 g/100 mL; 1.35 g/100 mL; 760 mg/100 mL; 1 g/100 mL; 1.34 g/100 mL; 1.02 g/100 mL; 980 mg/100 mL; 320 mg/100 mL; 50 mg/100 mL; 1.44 g/100 mL (NDC 0338-0499-06)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-03)","Reverified","08/17/2026","Unavailable","Estimated recovery: TBD","","Shortage of an inactive ingredient component","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-04)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-06)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-05)","Reverified","08/21/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-00)","Reverified","08/21/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)","Reverified","08/17/2026","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)","Reverified","08/17/2026","Available","This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 7%, Injection, 0.07 (NDC 0990-4178-03)","Reverified","08/17/2026","Unavailable","Estimated recovery: TBD. This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Otsuka ICU Medical LLC","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 10%, Injection, 0.1 (NDC 0990-4179-05)","Reverified","08/17/2026","Unavailable","Estimated recovery: TBD. This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)","Reverified","08/17/2026","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 0527-0760-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 0527-0761-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 0527-1502-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 0527-0763-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 0527-0764-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 0527-1505-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 0527-0766-37)","Reverified","09/01/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 0406-8884-01)","Reverified","08/20/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 0406-8885-01)","Reverified","08/20/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 0406-8891-01)","Revised","08/20/2026","Limited Availability","Estimated recovery: TBD","","Demand increase for the drug","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 0406-8892-01)","Revised","08/20/2026","Limited Availability","Estimated recovery: TBD","","Demand increase for the drug","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 0406-8893-01)","Reverified","08/20/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 0406-8894-01)","Revised","08/20/2026","Limited Availability","Estimated recovery: TBD","","Demand increase for the drug","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 42806-344-01)","Reverified","08/17/2026","Limited Availability","Estimated recovery: TBD","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 42806-341-01)","Revised","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 42806-343-01)","Revised","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 42806-345-01)","Revised","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 42806-339-01)","Reverified","08/17/2026","Limited Availability","Estimated recovery: TBD","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 5mg (NDC 47781-174-01)","Reverified","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 10mg (NDC 47781-176-01)","Reverified","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 15mg (NDC 47781-178-01)","Reverified","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 20mg (NDC 47781-179-01)","Reverified","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 30mg (NDC 47781-180-01)","Reverified","08/17/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 11534-190-01)","Reverified","08/16/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 11534-192-01)","Reverified","08/16/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 11534-191-01)","Reverified","08/16/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 11534-193-01)","Reverified","08/16/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 11534-194-01)","Reverified","08/16/2026","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
